$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category,$#Link,#ImageLink,#ImageLink2,#ImageLink3,#ImageLink4
401CFF,G-VROE,Classic Aircraft Trust,Avro Anson C21,ANSN,Civ,Historic,Communication,WD413,Historic,https://en.wikipedia.org/wiki/Avro_Anson,https://cdn.jetphotos.com/full/5/45448_1632251942.jpg,https://cdn.jetphotos.com/full/6/83836_1616083540.jpg,https://cdn.jetphotos.com/full/5/38275_1597870889.jpg,
401DCB,G-BGPB,Private,Canadian Car & Foundry T-6J Texan,T6,Civ,Trainer,History,To Be Faaaaaaaaaaaaaaaaaaair,Historic,https://www.t6harvard.com/uk-harvards/g-bspb/,https://live.staticflickr.com/4290/34823117434_eb80341c99_h.jpg,https://live.staticflickr.com/7438/16373939678_c29c92e9d2_k.jpg,https://live.staticflickr.com/6012/5971203422_c6644f92a4_k.jpg,
401F83,G-BJAF,Private,Piper L-4A Grasshopper,J3,Civ,Spotter Aircraft,War Bird,WW2,Historic,https://world-war-2.wikia.org/wiki/Piper_L-4_Grasshopper,,,,
401F85,G-BJAL,Private,Bucker 1-131E Jungmann,BU31,Civ,Biplane,Basic Trainer,Freshman,Historic,https://w.wiki/4trf,https://cdn.jetphotos.com/full/6/77278_1576090530.jpg,https://cdn.jetphotos.com/full/6/68396_1549134710.jpg,https://cdn.jetphotos.com/full/5/25425_1512171203.jpg,
401FD1,G-BJST,Private,Canadian Car & Foundry Harvard IV,T6,Civ,Trainer,History,Wacky Wabbit,Historic,https://www.t6harvard.com/uk-harvards/aj-841-wacky-wabbit/,https://cdn.jetphotos.com/full/6/73078_1632043372.jpg,https://cdn.jetphotos.com/full/5/13598_1625216176.jpg,https://cdn.jetphotos.com/full/6/82859_1624105154.jpg,
402236,G-LFIX,Private,Supermarine Spitfire TIX,SPIT,Civ,War Bird,Fighter,Merlin,Historic,https://w.wiki/4yd8,https://live.staticflickr.com/65535/48870996543_0756aadb92_k.jpg,https://live.staticflickr.com/65535/51387220026_b4f20aa98b_k.jpg,https://live.staticflickr.com/7097/7316253766_b6f584755a_b.jpg,
40223A,G-LOCH,Private,Piper J-3 C-90 Cub,J3,Civ,Spotter Aircraft,War Bird,WW2,Historic,https://en.wikipedia.org/wiki/Piper_J-3_Cub,https://cdn.jetphotos.com/full/5/17619_1572108524.jpg,https://cdn.jetphotos.com/full/5/73931_1531086529.jpg,,
4022B9,G-PRXI,Propshop,Supermarine Spitfire PRXI,SPIT,Civ,War Bird,Photo Recon,WW2,Historic,https://en.wikipedia.org/wiki/Supermarine_Spitfire,https://cdn.jetphotos.com/full/6/76674_1640798385.jpg,https://cdn.jetphotos.com/full/5/95337_1584973389.jpg,https://cdn.jetphotos.com/full/6/45340_1542720640.jpg,
40232B,G-CCCA,Boultbee Flight Academy,Supermarine Spitfire LFIXe,SPIT,Civ,War Bird,Fighter,WW2,Historic,https://www.boultbeeflightacademy.co.uk/pv202,https://cdn.jetphotos.com/full/6/13943_1627490358.jpg,https://cdn.jetphotos.com/full/6/41041_1625482849.jpg,https://cdn.jetphotos.com/full/5/15923_1607098972.jpg,
40232D,G-TSIX,Private,North American Harvard IIA,T6,Civ,Training Wheels,Advanced Trainer,I Am Old,Historic,https://www.t6harvard.com/uk-harvards/g-tsix/,https://cdn.jetphotos.com/full/5/93532_1576027187.jpg,https://cdn.jetphotos.com/full/6/47309_1463612971.jpg,https://cdn.jetphotos.com/full/1/37410_1280877155.jpg,
4023A0,G-BLUZ,Private,De Havilland DH-82B Queen Bee,DH82,Civ,Unique,Target Practice,The Last Of Us,Historic,https://en.wikipedia.org/wiki/De_Havilland_Tiger_Moth,https://live.staticflickr.com/65535/50009018561_7e82949487_k.jpg,https://live.staticflickr.com/65535/50009282872_6c953ca185_k.jpg,https://cdn.jetphotos.com/full/5/73782_1564343053.jpg,
402426,G-CTIX,Private,Supermarine Spitfire TIX,SPIT,Civ,PT462,Warbird,Merlin Engine,Historic,https://www.aerialcollective.co.uk/spitfire-pt462-history/,https://cdn.jetphotos.com/full/5/36648_1625656609.jpg,https://cdn.jetphotos.com/full/5/56373_1606585360.jpg,https://cdn.jetphotos.com/full/6/69835_1542546622.jpg,
4024DE,G-ADPC,Private,De Havilland DH-82A Tiger Moth,DH82,Civ,Biplane,History,Old Stuff,Historic,https://en.wikipedia.org/wiki/De_Havilland_Tiger_Moth,https://cdn.jetphotos.com/full/6/16962_1589808661.jpg,https://cdn.jetphotos.com/full/5/23889_1533808833.jpg,https://cdn.jetphotos.com/full/6/33272_1529594270.jpg,
4025A1,G-BKGM,Private,Beech Expeditor 3NM,BE18,Civ,Lend Lease,Thanks Uncle Sam,WW2,Historic,https://w.wiki/4wor,https://cdn.jetphotos.com/full/6/14364_1617147372.jpg,https://cdn.jetphotos.com/full/6/98460_1595666722.jpg,https://cdn.jetphotos.com/full/5/29554_1585929649.jpg,
4025CB,G-RNHF,Royal Naval Historic Flight,Hawker Sea Fury T20S,FURY,Civ,War Bird,Training Wheels,WW2,Historic,https://navywings.org.uk/portfolio/sea-fury-t-20,https://cdn.jetphotos.com/full/5/21532_1627437539.jpg,https://cdn.jetphotos.com/full/6/12501_1619447759.jpg,https://cdn.jetphotos.com/full/6/90435_1599940105.jpg,
4025FC,G-AKIU,Classic Aircraft Trust,Percival Proctor 5,PROC,Civ,Training Wheels,Speak Up Sonny,I Am Old,Historic,https://en.wikipedia.org/wiki/Percival_Proctor,https://cdn.jetphotos.com/full/2/45241_1288526266.jpg,,,
